Company,Category,ex-Nokian,Funding,Funding_dollar,Valuation,Core_dummy,experience,M&A,Founded,Revenue,,,,,,,,,,,,,,
Pointcloud,SW,Remus Nicolaescu,"$3,300,000 ","3,300,000 ",$13m - $20m,0,Corporate Development director,,2017,,,,,,,,,,,,,,,
Bitbar,SW,"Jouko Kaasila, Marko Kaasila","$3,000,000 ","3,000,000 ",$12m - $18m,0,Senior OS Product Manager,,2009,,,,,,,,,,,,,,,
PulseOn,"Consumer Electronics, Software",Tero Mennander,"€ 2,000,000","2,200,000 ",,0,head of strategy,,,,,,,,,,,,,,,,,
Uplause,"Digital Signage, Mobile, Sponsorship, Sports","Jussi Marin, Veli-pekka Marin, Heikki Aura ","€ 2,000,000","2,200,000 ",,,,,2009,,,,,,,,,,,,,,,
Piceasoft,SW,Joni Lagerbom,"€ 2,000,000 ","2,200,000 ",,,Principal Specialist,,2012,,,,,,,,,,,,,,,
Ad Hoc Labs,SW,Will Carter,"$2,000,000 ","2,000,000 ",$8m - $12m,0,Senior Researcher,,2012,,,,,,,,,,,,,,,
Dumpling,SW,Michał Staśkiewicz,"$2,000,000 ","2,000,000 ",$8m - $12m ,0,SW Development engineer,,2017,,,,,,,,,,,,,,,
miPic,SW,Carl Thomas,"€ 1,800,000 ","1,980,000 ",£5m - £8m ,1,Architect,,2013,,,,,,,,,,,,,,,
Medicast,SW,"Sam Zebarjadi, Nafis Zebarjadi","$1,940,000 ","1,940,000 ",$6m - $8m,1,Chief Architect,,2013,,,,,,,,,,,,,,,
Omata,Manufacturing,Michael Halbherr,"$1,900,000 ","1,900,000 ",$8m - $11m ,0,VP-Services,,2014,,,,,,,,,,,,,,,
Cloudstorm,SW,"Mihály Rozner, Bence Nagy","€ 1,650,000 ","1,815,000 ",,0,SW engineer,,2016,,,,,,,,,,,,,,,
3DBear,education,Kristo Lehtonen,"€ 1,500,000","1,650,000 ",€2m,1,Supervisor in mobile phone production,,2016,,,,,,,,,,,,,,,
Myra,SW,Anirudh Coontoor,"€ 1,500,000 ","1,650,000 ",INR480m - INR720m,0,SW engineer,,2015,,,,,,,,,,,,,,,
Moves App,SW,Jukka Partanen,"€ 1,400,000 ","1,540,000 ",€6m - €9m,0,OS Architect,Facebook,2011,,,,,,,,,,,,,,,
Hxperience,SW,Patrick Fichou,"€ 1,400,000 ","1,540,000 ",€6m - €8m,0,General Manager,,2015,,,,,,,,,,,,,,,
HeiaHeia,SW,"Olli Oksanen, Ivan Kuznetsov","€ 1,400,000 ","1,540,000 ",$6m - $9m,,,,2008,,,,,,,,,,,,,,,
